서비스,순위,타이틀,가수
Genie,1,Stay,The Kid LAROI & Justin Bieber
Genie,2,신호등,이무진
Genie,3,Queendom,Red Velvet (레드벨벳)
Genie,4,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO
Genie,5,낙하 (With 아이유),AKMU (악뮤)
Genie,6,바라만 본다,MSG워너비 (M.O.M)
Genie,7,Next Level,aespa
Genie,8,Weekend,태연 (TAEYEON)
Genie,9,DUMB DUMB,전소미
Genie,10,Permission to Dance,방탄소년단
Genie,11,Bad Habits,Ed Sheeran
Genie,12,좋아좋아,조정석
Genie,13,비와 당신,이무진
Genie,14,비가 오는 날엔 (2021),헤이즈 (Heize)
Genie,15,Butter,방탄소년단
Genie,16,사진을 보다가,다비치
Genie,17,술버릇 (운전만해 그후),브레이브걸스 (Brave girls)
Genie,18,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
Genie,19,소리꾼,Stray Kids (스트레이 키즈)
Genie,20,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
Genie,21,헤픈 우연,헤이즈 (Heize)
Genie,22,이제 나만 믿어요,임영웅
Genie,23,다정히 내 이름을 부르면,경서예지 & 전건호
Genie,24,Dynamite,방탄소년단
Genie,25,고백,10CM
Genie,26,롤린 (Rollin'),브레이브걸스 (Brave girls)
Genie,27,다시 사랑한다면 (김필 Ver.),임영웅
Genie,28,별빛 같은 나의 사랑아,임영웅
Genie,29,HERO,임영웅
Genie,30,하루만 더,빅마마 (Big Mama)
Genie,31,라일락,아이유 (IU)
Genie,32,Dun Dun Dance,오마이걸 (OH MY GIRL)
Genie,33,그대라는 사치,임영웅
Genie,34,치맛바람 (Chi Mat Ba Ram),브레이브걸스 (Brave girls)
Genie,35,끝사랑,임영웅
Genie,36,Bk Love,임영웅
Genie,37,여전히 아름다운지,세븐틴 (SEVENTEEN)
Genie,38,Celebrity,아이유 (IU)
Genie,39,잊었니,임영웅
Genie,40,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685 & Jason Derulo & 방탄소년단
Genie,41,Alcohol-Free,TWICE (트와이스)
Genie,42,미워요,임영웅
Genie,43,계단말고 엘리베이터,임영웅
Genie,44,사랑의 아픔 딛고,임영웅
Genie,45,사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco),호미들
Genie,46,CHEESE,Stray Kids (스트레이 키즈)
Genie,47,DOMINO,Stray Kids (스트레이 키즈)
Genie,48,추적이는 여름 비가 되어,장범준
Genie,49,안녕 (Hello),조이 (JOY)
Genie,50,회상,정경호
