서비스,순위,타이틀,가수
melon,1,신호등,이무진
melon,2,바라만 본다,MSG워너비(M.O.M)
melon,3,Queendom,Red Velvet (레드벨벳)
melon,4,Next Level,aespa
melon,5,낙하 (with 아이유),AKMU (악뮤)
melon,6,Permission to Dance,방탄소년단
melon,7,STAY,The Kid LAROI
melon,8,Weekend,태연 (TAEYEON)
melon,9,OHAYO MY NIGHT,디핵 (D-Hack)
melon,10,Butter,방탄소년단
melon,11,DUMB DUMB,전소미
melon,12,좋아좋아,조정석
melon,13,헤픈 우연,헤이즈 (Heize)
melon,14,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber
melon,15,비와 당신,이무진
melon,16,Dynamite,방탄소년단
melon,17,이제 나만 믿어요,임영웅
melon,18,Bad Habits,Ed Sheeran
melon,19,Dun Dun Dance,오마이걸 (OH MY GIRL)
melon,20,비가 오는 날엔 (2021),헤이즈 (Heize)
melon,21,롤린 (Rollin'),브레이브걸스
melon,22,라일락,아이유
melon,23,치맛바람 (Chi Mat Ba Ram),브레이브걸스
melon,24,다정히 내 이름을 부르면,경서예지
melon,25,안녕 (Hello),조이 (JOY)
melon,26,Celebrity,아이유
melon,27,Alcohol-Free,TWICE (트와이스)
melon,28,별빛 같은 나의 사랑아,임영웅
melon,29,여전히 아름다운지,세븐틴
melon,30,하루만 더,빅마마
melon,31,ASAP,STAYC(스테이씨)
melon,32,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들
melon,33,HERO,임영웅
melon,34,그대라는 사치,임영웅
melon,35,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685
melon,36,다시 사랑한다면 (김필 Ver.),임영웅
melon,37,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단
melon,38,끝사랑,임영웅
melon,39,운전만해 (We Ride),브레이브걸스
melon,40,나를 아는 사람,MSG워너비(정상동기)
melon,41,Bk Love,임영웅
melon,42,잊었니,임영웅
melon,43,밝게 빛나는 별이 되어 비춰줄게,송이한
melon,44,봄날,방탄소년단
melon,45,가을 우체국 앞에서,김대명
melon,46,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH)
melon,47,내 손을 잡아,아이유
melon,48,멜로디,ASH ISLAND
melon,49,상상더하기,라붐 (LABOUM)
melon,50,Life Goes On,방탄소년단
melon,51,Timeless,SG 워너비
melon,52,사진을 보다가,다비치
melon,53,미워요,임영웅
melon,54,Lovesick Girls,BLACKPINK
melon,55,밤하늘의 별을(2020),경서
melon,56,계단말고 엘리베이터,임영웅
melon,57,사랑의 아픔 딛고,임영웅
melon,58,술버릇 (운전만해 그후),브레이브걸스
melon,59,Off My Face,Justin Bieber
melon,60,추억은 만남보다 이별에 남아,정동하
melon,61,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
melon,62,어푸 (Ah puh),아이유
melon,63,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)"
melon,64,아로하,조정석
melon,65,목로주점,임영웅
melon,66,잠이 오질 않네요,장범준
melon,67,회상,정경호
melon,68,고백,10CM
melon,69,Blueming,아이유
melon,70,슈퍼스타,미도와 파라솔
melon,71,그날에 나는 맘이 편했을까,이예준
melon,72,에잇(Prod.&Feat. SUGA of BTS),아이유
melon,73,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔
melon,74,Dolphin,오마이걸 (OH MY GIRL)
melon,75,취기를 빌려 (취향저격 그녀 X 산들),산들
melon,76,LO$ER=LO♡ER,투모로우바이투게더
melon,77,허리춤,오반 (OVAN)
melon,78,2002,Anne-Marie
melon,79,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭
melon,80,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
melon,81,라라라,SG 워너비
melon,82,METEOR,창모 (CHANGMO)
melon,83,소리꾼,Stray Kids (스트레이 키즈)
melon,84,네 노래,피아노맨
melon,85,12:45 (Stripped),Etham
melon,86,너의 번호를 누르고 (Prod. 영화처럼),#안녕
melon,87,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
melon,88,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani)
melon,89,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재
melon,90,오래된 노래,스탠딩 에그
melon,91,어떻게 지내 (Prod. By VAN.C),오반 (OVAN)
melon,92,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB)
melon,93,넌 좋은 사람,SG 워너비
melon,94,사실 나는 (Feat.전건호),경서예지
melon,95,제자리 걸음,V.O.S
melon,96,Coin,아이유
melon,97,On The Ground,로제 (ROSÉ)
melon,98,고백,장범준
melon,99,Memories,Maroon 5
melon,100,나는 너 좋아,장범준
