"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시  (1100000000)","9,558,153","9,558,153","599,600","764,952","1,440,484","1,449,434","1,497,354","1,505,745","1,274,190","696,452","286,511","40,954","2,477"
"서울특별시 종로구 (1111000000)","145,692","145,692","7,230","10,622","23,039","19,584","21,341","24,890","20,221","11,774","5,995","943","53"
"서울특별시 종로구 청운효자동(1111051500)","12,035","12,035","776","1,144","1,573","1,600","2,115","1,912","1,384","935","517","72","7"
"서울특별시 종로구 사직동(1111053000)","9,376","9,376","560","667","1,244","1,470","1,448","1,508","1,209","720","460","85","5"
"서울특별시 종로구 삼청동(1111054000)","2,484","2,484","97","178","314","323","348","387","414","247","142","28","6"
"서울특별시 종로구 부암동(1111055000)","9,679","9,679","527","875","1,274","1,206","1,600","1,666","1,314","758","381","74","4"
"서울특별시 종로구 평창동(1111056000)","18,177","18,177","1,154","1,599","2,399","2,213","2,693","3,232","2,623","1,322","770","164","8"
"서울특별시 종로구 무악동(1111057000)","8,275","8,275","675","994","901","916","1,421","1,396","1,027","586","314","41","4"
"서울특별시 종로구 교남동(1111058000)","10,122","10,122","842","809","1,231","1,605","1,797","1,561","1,180","723","331","41","2"
"서울특별시 종로구 가회동(1111060000)","4,179","4,179","183","327","489","558","711","707","583","393","192","34","2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,204","7,204","186","219","926","920","936","1,317","1,409","832","392","62","5"
"서울특별시 종로구 종로5.6가동(1111063000)","5,121","5,121","103","239","1,069","735","569","903","760","495","218","30","0"
"서울특별시 종로구 이화동(1111064000)","7,310","7,310","228","386","1,609","1,243","916","1,093","927","561","307","38","2"
"서울특별시 종로구 혜화동(1111065000)","16,463","16,463","633","1,315","4,380","2,044","2,153","2,337","1,655","1,184","661","98","3"
"서울특별시 종로구 창신제1동(1111067000)","4,964","4,964","133","224","609","531","596","1,050","1,032","520","238","31","0"
"서울특별시 종로구 창신제2동(1111068000)","8,037","8,037","216","463","1,148","882","1,017","1,792","1,399","762","314","41","3"
"서울특별시 종로구 창신제3동(1111069000)","6,706","6,706","368","493","939","936","912","1,241","1,039","509","233","35","1"
"서울특별시 종로구 숭인제1동(1111070000)","5,923","5,923","278","354","781","807","880","1,136","916","513","226","32","0"
"서울특별시 종로구 숭인제2동(1111071000)","9,637","9,637","271","336","2,153","1,595","1,229","1,652","1,350","714","299","37","1"
"서울특별시 중구 (1114000000)","122,951","122,951","6,470","6,642","18,305","19,941","17,624","20,191","17,792","10,333","4,789","805","59"
"서울특별시 중구 소공동(1114052000)","2,195","2,195","157","123","250","486","493","299","241","97","40","8","1"
"서울특별시 중구 회현동(1114054000)","4,854","4,854","191","205","495","530","664","927","1,039","527","222","53","1"
"서울특별시 중구 명동(1114055000)","2,846","2,846","83","130","367","401","414","477","500","308","140","22","4"
"서울특별시 중구 필동(1114057000)","4,061","4,061","182","187","745","664","477","589","613","355","188","52","9"
"서울특별시 중구 장충동(1114058000)","4,564","4,564","180","265","1,181","662","575","591","532","361","189","27","1"
"서울특별시 중구 광희동(1114059000)","5,210","5,210","125","189","1,004","868","644","823","831","507","189","28","2"
"서울특별시 중구 을지로동(1114060500)","1,723","1,723","41","38","215","307","185","294","374","179","73","17","0"
"서울특별시 중구 신당동(1114061500)","7,598","7,598","255","284","1,343","1,319","1,050","1,337","1,067","639","253","49","2"
"서울특별시 중구 다산동(1114062500)","13,953","13,953","531","789","2,319","2,203","1,972","2,272","1,995","1,235","545","82","10"
