행정구역,2021년01월_총인구수,2021년01월_세대수,2021년01월_남자 인구수,2021년01월_여자 인구수,2021년02월_총인구수,2021년02월_세대수,2021년02월_남자 인구수,2021년02월_여자 인구수,2021년03월_총인구수,2021년03월_세대수,2021년03월_남자 인구수,2021년03월_여자 인구수,2021년04월_총인구수,2021년04월_세대수,2021년04월_남자 인구수,2021년04월_여자 인구수,2021년05월_총인구수,2021년05월_세대수,2021년05월_남자 인구수,2021년05월_여자 인구수,2021년06월_총인구수,2021년06월_세대수,2021년06월_남자 인구수,2021년06월_여자 인구수,2021년07월_총인구수,2021년07월_세대수,2021년07월_남자 인구수,2021년07월_여자 인구수
서울특별시  (1100000000),"9,657,969","4,421,022","4,695,999","4,961,970","9,648,606","4,427,814","4,690,282","4,958,324","9,598,484","4,400,403","4,667,524","4,930,960","9,588,711","4,403,263","4,661,711","4,927,000","9,575,355","4,403,381","4,654,720","4,920,635","9,565,990","4,405,638","4,649,442","4,916,548","9,558,153","4,409,964","4,645,177","4,912,976"
서울특별시 종로구 (1111000000),"149,125","75,060","72,528","76,597","148,884","75,112","72,372","76,512","147,296","74,113","71,644","75,652","147,113","74,178","71,567","75,546","146,377","73,712","71,204","75,173","146,029","73,525","70,985","75,044","145,692","73,453","70,810","74,882"
서울특별시 종로구 청운효자동(1111051500),"12,426","5,376","5,784","6,642","12,353","5,385","5,745","6,608","12,095","5,237","5,619","6,476","12,063","5,231","5,598","6,465","12,042","5,245","5,582","6,460","12,024","5,242","5,580","6,444","12,035","5,237","5,581","6,454"
서울특별시 종로구 사직동(1111053000),"9,544","4,774","4,273","5,271","9,542","4,783","4,274","5,268","9,543","4,787","4,275","5,268","9,535","4,795","4,280","5,255","9,367","4,663","4,220","5,147","9,371","4,674","4,225","5,146","9,376","4,691","4,221","5,155"
서울특별시 종로구 삼청동(1111054000),"2,613","1,325","1,251","1,362","2,609","1,329","1,247","1,362","2,530","1,259","1,211","1,319","2,519","1,250","1,208","1,311","2,497","1,246","1,192","1,305","2,498","1,248","1,191","1,307","2,484","1,242","1,181","1,303"
서울특별시 종로구 부암동(1111055000),"9,990","4,394","4,765","5,225","9,961","4,393","4,748","5,213","9,819","4,294","4,690","5,129","9,771","4,294","4,673","5,098","9,737","4,292","4,658","5,079","9,703","4,286","4,639","5,064","9,679","4,277","4,625","5,054"
서울특별시 종로구 평창동(1111056000),"18,394","7,540","8,556","9,838","18,347","7,531","8,534","9,813","18,308","7,532","8,518","9,790","18,294","7,536","8,523","9,771","18,230","7,486","8,502","9,728","18,204","7,482","8,478","9,726","18,177","7,469","8,470","9,707"
서울특별시 종로구 무악동(1111057000),"8,519","3,186","3,967","4,552","8,516","3,185","3,963","4,553","8,380","3,075","3,907","4,473","8,347","3,066","3,902","4,445","8,329","3,069","3,887","4,442","8,318","3,065","3,877","4,441","8,275","3,058","3,856","4,419"
서울특별시 종로구 교남동(1111058000),"10,428","4,599","4,826","5,602","10,395","4,584","4,797","5,598","10,230","4,468","4,729","5,501","10,220","4,464","4,731","5,489","10,178","4,463","4,700","5,478","10,167","4,463","4,698","5,469","10,122","4,457","4,668","5,454"
서울특별시 종로구 가회동(1111060000),"4,325","2,083","2,004","2,321","4,320","2,086","2,004","2,316","4,203","2,019","1,952","2,251","4,197","2,026","1,941","2,256","4,205","2,030","1,945","2,260","4,210","2,030","1,944","2,266","4,179","2,022","1,930","2,249"
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,256","5,295","4,356","2,900","7,253","5,286","4,348","2,905","7,227","5,279","4,320","2,907","7,250","5,302","4,335","2,915","7,265","5,305","4,328","2,937","7,226","5,271","4,305","2,921","7,204","5,256","4,288","2,916"
서울특별시 종로구 종로5.6가동(1111063000),"5,258","3,441","2,839","2,419","5,282","3,463","2,847","2,435","5,264","3,466","2,847","2,417","5,241","3,454","2,826","2,415","5,243","3,455","2,813","2,430","5,150","3,390","2,749","2,401","5,121","3,369","2,733","2,388"
서울특별시 종로구 이화동(1111064000),"7,558","4,423","3,551","4,007","7,561","4,433","3,555","4,006","7,399","4,304","3,490","3,909","7,390","4,320","3,488","3,902","7,359","4,301","3,485","3,874","7,347","4,289","3,472","3,875","7,310","4,283","3,461","3,849"
서울특별시 종로구 혜화동(1111065000),"16,707","9,325","8,052","8,655","16,712","9,342","8,063","8,649","16,711","9,374","8,038","8,673","16,707","9,379","8,030","8,677","16,570","9,248","7,988","8,582","16,489","9,194","7,949","8,540","16,463","9,199","7,955","8,508"
서울특별시 종로구 창신제1동(1111067000),"5,116","2,949","2,761","2,355","5,122","2,958","2,755","2,367","5,054","2,930","2,718","2,336","5,049","2,925","2,714","2,335","4,965","2,840","2,669","2,296","4,966","2,848","2,664","2,302","4,964","2,854","2,664","2,300"
서울특별시 종로구 창신제2동(1111068000),"8,296","4,190","4,263","4,033","8,245","4,184","4,236","4,009","8,198","4,156","4,214","3,984","8,175","4,159","4,198","3,977","8,077","4,077","4,140","3,937","8,057","4,066","4,135","3,922","8,037","4,063","4,130","3,907"
서울특별시 종로구 창신제3동(1111069000),"6,897","2,908","3,383","3,514","6,873","2,908","3,375","3,498","6,752","2,811","3,320","3,432","6,727","2,813","3,301","3,426","6,704","2,817","3,290","3,414","6,708","2,816","3,297","3,411","6,706","2,818","3,292","3,414"
서울특별시 종로구 숭인제1동(1111070000),"6,081","3,045","2,964","3,117","6,083","3,042","2,958","3,125","6,041","3,023","2,933","3,108","6,014","3,013","2,920","3,094","5,993","3,010","2,904","3,089","5,942","2,976","2,869","3,073","5,923","2,984","2,862","3,061"
서울특별시 종로구 숭인제2동(1111071000),"9,717","6,207","4,933","4,784","9,710","6,220","4,923","4,787","9,542","6,099","4,863","4,679","9,614","6,151","4,899","4,715","9,616","6,165","4,901","4,715","9,649","6,185","4,913","4,736","9,637","6,174","4,893","4,744"
서울특별시 중구 (1114000000),"125,038","63,707","61,122","63,916","124,836","63,789","61,018","63,818","124,552","63,746","60,851","63,701","124,477","63,851","60,787","63,690","123,133","62,847","60,106","63,027","123,016","62,897","60,019","62,997","122,951","63,001","59,945","63,006"
서울특별시 중구 소공동(1114052000),"2,077","1,143","1,030","1,047","2,112","1,169","1,035","1,077","2,143","1,199","1,050","1,093","2,193","1,243","1,068","1,125","2,200","1,259","1,065","1,135","2,209","1,256","1,063","1,146","2,195","1,255","1,052","1,143"
서울특별시 중구 회현동(1114054000),"5,116","3,021","2,716","2,400","5,133","3,035","2,734","2,399","5,114","3,014","2,714","2,400","5,096","3,003","2,695","2,401","4,845","2,770","2,551","2,294","4,852","2,772","2,554","2,298","4,854","2,778","2,545","2,309"
서울특별시 중구 명동(1114055000),"2,908","1,554","1,243","1,665","2,911","1,558","1,243","1,668","2,930","1,569","1,251","1,679","2,938","1,574","1,258","1,680","2,859","1,504","1,238","1,621","2,847","1,510","1,237","1,610","2,846","1,511","1,242","1,604"
서울특별시 중구 필동(1114057000),"4,063","2,419","2,104","1,959","4,063","2,423","2,098","1,965","4,015","2,416","2,080","1,935","4,018","2,443","2,086","1,932","4,044","2,466","2,099","1,945","4,057","2,477","2,090","1,967","4,061","2,482","2,074","1,987"
서울특별시 중구 장충동(1114058000),"4,611","2,724","2,322","2,289","4,558","2,686","2,302","2,256","4,566","2,692","2,298","2,268","4,575","2,707","2,303","2,272","4,542","2,684","2,301","2,241","4,560","2,700","2,318","2,242","4,564","2,709","2,320","2,244"
서울특별시 중구 광희동(1114059000),"5,270","3,324","2,710","2,560","5,319","3,370","2,722","2,597","5,343","3,389","2,734","2,609","5,353","3,410","2,738","2,615","5,218","3,306","2,670","2,548","5,197","3,303","2,659","2,538","5,210","3,323","2,671","2,539"
서울특별시 중구 을지로동(1114060500),"1,808","1,375","1,086",722,"1,817","1,378","1,087",730,"1,796","1,364","1,076",720,"1,778","1,353","1,070",708,"1,716","1,299","1,042",674,"1,709","1,297","1,041",668,"1,723","1,314","1,050",673
서울특별시 중구 신당동(1114061500),"7,715","4,645","3,864","3,851","7,696","4,658","3,837","3,859","7,680","4,672","3,823","3,857","7,670","4,679","3,813","3,857","7,579","4,622","3,778","3,801","7,588","4,642","3,781","3,807","7,598","4,638","3,783","3,815"
서울특별시 중구 다산동(1114062500),"14,228","6,973","6,900","7,328","14,182","6,967","6,864","7,318","14,141","6,959","6,856","7,285","14,101","6,949","6,839","7,262","13,993","6,883","6,775","7,218","13,972","6,895","6,781","7,191","13,953","6,894","6,779","7,174"
서울특별시 중구 약수동(1114063500),"17,035","7,779","8,040","8,995","16,981","7,775","8,030","8,951","16,920","7,751","7,989","8,931","16,914","7,773","7,978","8,936","16,815","7,731","7,903","8,912","16,843","7,767","7,889","8,954","16,847","7,810","7,881","8,966"
서울특별시 중구 청구동(1114064500),"13,994","6,401","6,635","7,359","13,931","6,386","6,602","7,329","13,894","6,375","6,587","7,307","13,893","6,383","6,573","7,320","13,766","6,289","6,519","7,247","13,740","6,288","6,505","7,235","13,695","6,288","6,484","7,211"
서울특별시 중구 신당제5동(1114065000),"10,524","5,399","5,119","5,405","10,515","5,406","5,119","5,396","10,501","5,403","5,104","5,397","10,472","5,390","5,087","5,385","10,385","5,315","5,051","5,334","10,364","5,309","5,049","5,315","10,375","5,315","5,051","5,324"
서울특별시 중구 동화동(1114066500),"10,650","4,175","5,143","5,507","10,617","4,177","5,133","5,484","10,586","4,171","5,125","5,461","10,558","4,174","5,115","5,443","10,454","4,108","5,073","5,381","10,420","4,102","5,045","5,375","10,407","4,102","5,033","5,374"
서울특별시 중구 황학동(1114067000),"12,584","6,933","6,001","6,583","12,603","6,963","6,016","6,587","12,613","6,969","6,025","6,588","12,613","6,980","6,033","6,580","12,548","6,936","5,985","6,563","12,553","6,929","5,988","6,565","12,523","6,932","5,976","6,547"
서울특별시 중구 중림동(1114068000),"12,455","5,842","6,209","6,246","12,398","5,838","6,196","6,202","12,310","5,803","6,139","6,171","12,305","5,790","6,131","6,174","12,169","5,675","6,056","6,113","12,105","5,650","6,019","6,086","12,100","5,650","6,004","6,096"
서울특별시 용산구 (1117000000),"230,045","113,267","110,700","119,345","230,113","113,600","110,646","119,467","229,013","112,881","110,181","118,832","228,755","112,940","110,038","118,717","227,515","112,275","109,494","118,021","226,378","111,650","108,948","117,430","225,977","111,635","108,709","117,268"
서울특별시 용산구 후암동(1117051000),"17,671","8,722","8,566","9,105","17,647","8,750","8,544","9,103","17,360","8,548","8,418","8,942","17,332","8,529","8,409","8,923","17,125","8,429","8,321","8,804","17,128","8,445","8,335","8,793","17,054","8,434","8,310","8,744"
서울특별시 용산구 용산2가동(1117052000),"9,951","5,414","4,784","5,167","9,925","5,410","4,776","5,149","9,879","5,372","4,758","5,121","9,833","5,368","4,746","5,087","9,656","5,260","4,666","4,990","9,576","5,247","4,638","4,938","9,579","5,262","4,635","4,944"
서울특별시 용산구 남영동(1117053000),"7,648","5,411","4,651","2,997","7,650","5,426","4,657","2,993","7,544","5,334","4,604","2,940","7,549","5,350","4,603","2,946","7,549","5,353","4,606","2,943","7,383","5,204","4,504","2,879","7,355","5,191","4,482","2,873"
서울특별시 용산구 청파동(1117055500),"19,761","11,083","9,311","10,450","19,748","11,098","9,278","10,470","19,700","11,109","9,223","10,477","19,676","11,117","9,219","10,457","19,497","10,981","9,126","10,371","19,521","10,999","9,150","10,371","19,568","11,029","9,179","10,389"
서울특별시 용산구 원효로제1동(1117056000),"16,108","8,084","7,753","8,355","16,136","8,119","7,748","8,388","16,099","8,089","7,725","8,374","16,042","8,077","7,687","8,355","15,975","8,031","7,654","8,321","15,954","8,035","7,636","8,318","16,000","8,102","7,636","8,364"
서울특별시 용산구 원효로제2동(1117057000),"14,158","6,044","6,667","7,491","14,173","6,094","6,667","7,506","14,140","6,111","6,652","7,488","14,100","6,108","6,633","7,467","14,052","6,089","6,611","7,441","13,883","5,960","6,533","7,350","13,849","5,956","6,515","7,334"
