"행정구역","2021년01월_총인구수","2021년01월_세대수","2021년01월_세대당 인구","2021년01월_남자 인구수","2021년01월_여자 인구수","2021년01월_남여 비율","2021년02월_총인구수","2021년02월_세대수","2021년02월_세대당 인구","2021년02월_남자 인구수","2021년02월_여자 인구수","2021년02월_남여 비율","2021년03월_총인구수","2021년03월_세대수","2021년03월_세대당 인구","2021년03월_남자 인구수","2021년03월_여자 인구수","2021년03월_남여 비율","2021년04월_총인구수","2021년04월_세대수","2021년04월_세대당 인구","2021년04월_남자 인구수","2021년04월_여자 인구수","2021년04월_남여 비율","2021년05월_총인구수","2021년05월_세대수","2021년05월_세대당 인구","2021년05월_남자 인구수","2021년05월_여자 인구수","2021년05월_남여 비율","2021년06월_총인구수","2021년06월_세대수","2021년06월_세대당 인구","2021년06월_남자 인구수","2021년06월_여자 인구수","2021년06월_남여 비율","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율"
"서울특별시  (1100000000)","9,657,969","4,421,022","          2.18","4,695,999","4,961,970","          0.95","9,648,606","4,427,814","          2.18","4,690,282","4,958,324","          0.95","9,598,484","4,400,403","          2.18","4,667,524","4,930,960","          0.95","9,588,711","4,403,263","          2.18","4,661,711","4,927,000","          0.95","9,575,355","4,403,381","          2.17","4,654,720","4,920,635","          0.95","9,565,990","4,405,638","          2.17","4,649,442","4,916,548","          0.95","9,558,153","4,409,964","          2.17","4,645,177","4,912,976","          0.95"
"서울특별시 종로구 (1111000000)","149,125","75,060","          1.99","72,528","76,597","          0.95","148,884","75,112","          1.98","72,372","76,512","          0.95","147,296","74,113","          1.99","71,644","75,652","          0.95","147,113","74,178","          1.98","71,567","75,546","          0.95","146,377","73,712","          1.99","71,204","75,173","          0.95","146,029","73,525","          1.99","70,985","75,044","          0.95","145,692","73,453","          1.98","70,810","74,882","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,426","5,376","          2.31","5,784","6,642","          0.87","12,353","5,385","          2.29","5,745","6,608","          0.87","12,095","5,237","          2.31","5,619","6,476","          0.87","12,063","5,231","          2.31","5,598","6,465","          0.87","12,042","5,245","          2.30","5,582","6,460","          0.86","12,024","5,242","          2.29","5,580","6,444","          0.87","12,035","5,237","          2.30","5,581","6,454","          0.86"
"서울특별시 종로구 사직동(1111053000)","9,544","4,774","          2.00","4,273","5,271","          0.81","9,542","4,783","          1.99","4,274","5,268","          0.81","9,543","4,787","          1.99","4,275","5,268","          0.81","9,535","4,795","          1.99","4,280","5,255","          0.81","9,367","4,663","          2.01","4,220","5,147","          0.82","9,371","4,674","          2.00","4,225","5,146","          0.82","9,376","4,691","          2.00","4,221","5,155","          0.82"
"서울특별시 종로구 삼청동(1111054000)","2,613","1,325","          1.97","1,251","1,362","          0.92","2,609","1,329","          1.96","1,247","1,362","          0.92","2,530","1,259","          2.01","1,211","1,319","          0.92","2,519","1,250","          2.02","1,208","1,311","          0.92","2,497","1,246","          2.00","1,192","1,305","          0.91","2,498","1,248","          2.00","1,191","1,307","          0.91","2,484","1,242","          2.00","1,181","1,303","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,990","4,394","          2.27","4,765","5,225","          0.91","9,961","4,393","          2.27","4,748","5,213","          0.91","9,819","4,294","          2.29","4,690","5,129","          0.91","9,771","4,294","          2.28","4,673","5,098","          0.92","9,737","4,292","          2.27","4,658","5,079","          0.92","9,703","4,286","          2.26","4,639","5,064","          0.92","9,679","4,277","          2.26","4,625","5,054","          0.92"
"서울특별시 종로구 평창동(1111056000)","18,394","7,540","          2.44","8,556","9,838","          0.87","18,347","7,531","          2.44","8,534","9,813","          0.87","18,308","7,532","          2.43","8,518","9,790","          0.87","18,294","7,536","          2.43","8,523","9,771","          0.87","18,230","7,486","          2.44","8,502","9,728","          0.87","18,204","7,482","          2.43","8,478","9,726","          0.87","18,177","7,469","          2.43","8,470","9,707","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,519","3,186","          2.67","3,967","4,552","          0.87","8,516","3,185","          2.67","3,963","4,553","          0.87","8,380","3,075","          2.73","3,907","4,473","          0.87","8,347","3,066","          2.72","3,902","4,445","          0.88","8,329","3,069","          2.71","3,887","4,442","          0.88","8,318","3,065","          2.71","3,877","4,441","          0.87","8,275","3,058","          2.71","3,856","4,419","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,428","4,599","          2.27","4,826","5,602","          0.86","10,395","4,584","          2.27","4,797","5,598","          0.86","10,230","4,468","          2.29","4,729","5,501","          0.86","10,220","4,464","          2.29","4,731","5,489","          0.86","10,178","4,463","          2.28","4,700","5,478","          0.86","10,167","4,463","          2.28","4,698","5,469","          0.86","10,122","4,457","          2.27","4,668","5,454","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,325","2,083","          2.08","2,004","2,321","          0.86","4,320","2,086","          2.07","2,004","2,316","          0.87","4,203","2,019","          2.08","1,952","2,251","          0.87","4,197","2,026","          2.07","1,941","2,256","          0.86","4,205","2,030","          2.07","1,945","2,260","          0.86","4,210","2,030","          2.07","1,944","2,266","          0.86","4,179","2,022","          2.07","1,930","2,249","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,256","5,295","          1.37","4,356","2,900","          1.50","7,253","5,286","          1.37","4,348","2,905","          1.50","7,227","5,279","          1.37","4,320","2,907","          1.49","7,250","5,302","          1.37","4,335","2,915","          1.49","7,265","5,305","          1.37","4,328","2,937","          1.47","7,226","5,271","          1.37","4,305","2,921","          1.47","7,204","5,256","          1.37","4,288","2,916","          1.47"
"서울특별시 종로구 종로5.6가동(1111063000)","5,258","3,441","          1.53","2,839","2,419","          1.17","5,282","3,463","          1.53","2,847","2,435","          1.17","5,264","3,466","          1.52","2,847","2,417","          1.18","5,241","3,454","          1.52","2,826","2,415","          1.17","5,243","3,455","          1.52","2,813","2,430","          1.16","5,150","3,390","          1.52","2,749","2,401","          1.14","5,121","3,369","          1.52","2,733","2,388","          1.14"
"서울특별시 종로구 이화동(1111064000)","7,558","4,423","          1.71","3,551","4,007","          0.89","7,561","4,433","          1.71","3,555","4,006","          0.89","7,399","4,304","          1.72","3,490","3,909","          0.89","7,390","4,320","          1.71","3,488","3,902","          0.89","7,359","4,301","          1.71","3,485","3,874","          0.90","7,347","4,289","          1.71","3,472","3,875","          0.90","7,310","4,283","          1.71","3,461","3,849","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,707","9,325","          1.79","8,052","8,655","          0.93","16,712","9,342","          1.79","8,063","8,649","          0.93","16,711","9,374","          1.78","8,038","8,673","          0.93","16,707","9,379","          1.78","8,030","8,677","          0.93","16,570","9,248","          1.79","7,988","8,582","          0.93","16,489","9,194","          1.79","7,949","8,540","          0.93","16,463","9,199","          1.79","7,955","8,508","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","5,116","2,949","          1.73","2,761","2,355","          1.17","5,122","2,958","          1.73","2,755","2,367","          1.16","5,054","2,930","          1.72","2,718","2,336","          1.16","5,049","2,925","          1.73","2,714","2,335","          1.16","4,965","2,840","          1.75","2,669","2,296","          1.16","4,966","2,848","          1.74","2,664","2,302","          1.16","4,964","2,854","          1.74","2,664","2,300","          1.16"
"서울특별시 종로구 창신제2동(1111068000)","8,296","4,190","          1.98","4,263","4,033","          1.06","8,245","4,184","          1.97","4,236","4,009","          1.06","8,198","4,156","          1.97","4,214","3,984","          1.06","8,175","4,159","          1.97","4,198","3,977","          1.06","8,077","4,077","          1.98","4,140","3,937","          1.05","8,057","4,066","          1.98","4,135","3,922","          1.05","8,037","4,063","          1.98","4,130","3,907","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,897","2,908","          2.37","3,383","3,514","          0.96","6,873","2,908","          2.36","3,375","3,498","          0.96","6,752","2,811","          2.40","3,320","3,432","          0.97","6,727","2,813","          2.39","3,301","3,426","          0.96","6,704","2,817","          2.38","3,290","3,414","          0.96","6,708","2,816","          2.38","3,297","3,411","          0.97","6,706","2,818","          2.38","3,292","3,414","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","6,081","3,045","          2.00","2,964","3,117","          0.95","6,083","3,042","          2.00","2,958","3,125","          0.95","6,041","3,023","          2.00","2,933","3,108","          0.94","6,014","3,013","          2.00","2,920","3,094","          0.94","5,993","3,010","          1.99","2,904","3,089","          0.94","5,942","2,976","          2.00","2,869","3,073","          0.93","5,923","2,984","          1.98","2,862","3,061","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,717","6,207","          1.57","4,933","4,784","          1.03","9,710","6,220","          1.56","4,923","4,787","          1.03","9,542","6,099","          1.56","4,863","4,679","          1.04","9,614","6,151","          1.56","4,899","4,715","          1.04","9,616","6,165","          1.56","4,901","4,715","          1.04","9,649","6,185","          1.56","4,913","4,736","          1.04","9,637","6,174","          1.56","4,893","4,744","          1.03"
"서울특별시 중구 (1114000000)","125,038","63,707","          1.96","61,122","63,916","          0.96","124,836","63,789","          1.96","61,018","63,818","          0.96","124,552","63,746","          1.95","60,851","63,701","          0.96","124,477","63,851","          1.95","60,787","63,690","          0.95","123,133","62,847","          1.96","60,106","63,027","          0.95","123,016","62,897","          1.96","60,019","62,997","          0.95","122,951","63,001","          1.95","59,945","63,006","          0.95"
"서울특별시 중구 소공동(1114052000)","2,077","1,143","          1.82","1,030","1,047","          0.98","2,112","1,169","          1.81","1,035","1,077","          0.96","2,143","1,199","          1.79","1,050","1,093","          0.96","2,193","1,243","          1.76","1,068","1,125","          0.95","2,200","1,259","          1.75","1,065","1,135","          0.94","2,209","1,256","          1.76","1,063","1,146","          0.93","2,195","1,255","          1.75","1,052","1,143","          0.92"
"서울특별시 중구 회현동(1114054000)","5,116","3,021","          1.69","2,716","2,400","          1.13","5,133","3,035","          1.69","2,734","2,399","          1.14","5,114","3,014","          1.70","2,714","2,400","          1.13","5,096","3,003","          1.70","2,695","2,401","          1.12","4,845","2,770","          1.75","2,551","2,294","          1.11","4,852","2,772","          1.75","2,554","2,298","          1.11","4,854","2,778","          1.75","2,545","2,309","          1.10"
"서울특별시 중구 명동(1114055000)","2,908","1,554","          1.87","1,243","1,665","          0.75","2,911","1,558","          1.87","1,243","1,668","          0.75","2,930","1,569","          1.87","1,251","1,679","          0.75","2,938","1,574","          1.87","1,258","1,680","          0.75","2,859","1,504","          1.90","1,238","1,621","          0.76","2,847","1,510","          1.89","1,237","1,610","          0.77","2,846","1,511","          1.88","1,242","1,604","          0.77"
"서울특별시 중구 필동(1114057000)","4,063","2,419","          1.68","2,104","1,959","          1.07","4,063","2,423","          1.68","2,098","1,965","          1.07","4,015","2,416","          1.66","2,080","1,935","          1.07","4,018","2,443","          1.64","2,086","1,932","          1.08","4,044","2,466","          1.64","2,099","1,945","          1.08","4,057","2,477","          1.64","2,090","1,967","          1.06","4,061","2,482","          1.64","2,074","1,987","          1.04"
"서울특별시 중구 장충동(1114058000)","4,611","2,724","          1.69","2,322","2,289","          1.01","4,558","2,686","          1.70","2,302","2,256","          1.02","4,566","2,692","          1.70","2,298","2,268","          1.01","4,575","2,707","          1.69","2,303","2,272","          1.01","4,542","2,684","          1.69","2,301","2,241","          1.03","4,560","2,700","          1.69","2,318","2,242","          1.03","4,564","2,709","          1.68","2,320","2,244","          1.03"
"서울특별시 중구 광희동(1114059000)","5,270","3,324","          1.59","2,710","2,560","          1.06","5,319","3,370","          1.58","2,722","2,597","          1.05","5,343","3,389","          1.58","2,734","2,609","          1.05","5,353","3,410","          1.57","2,738","2,615","          1.05","5,218","3,306","          1.58","2,670","2,548","          1.05","5,197","3,303","          1.57","2,659","2,538","          1.05","5,210","3,323","          1.57","2,671","2,539","          1.05"
"서울특별시 중구 을지로동(1114060500)","1,808","1,375","          1.31","1,086","722","          1.50","1,817","1,378","          1.32","1,087","730","          1.49","1,796","1,364","          1.32","1,076","720","          1.49","1,778","1,353","          1.31","1,070","708","          1.51","1,716","1,299","          1.32","1,042","674","          1.55","1,709","1,297","          1.32","1,041","668","          1.56","1,723","1,314","          1.31","1,050","673","          1.56"
"서울특별시 중구 신당동(1114061500)","7,715","4,645","          1.66","3,864","3,851","          1.00","7,696","4,658","          1.65","3,837","3,859","          0.99","7,680","4,672","          1.64","3,823","3,857","          0.99","7,670","4,679","          1.64","3,813","3,857","          0.99","7,579","4,622","          1.64","3,778","3,801","          0.99","7,588","4,642","          1.63","3,781","3,807","          0.99","7,598","4,638","          1.64","3,783","3,815","          0.99"
