행정구역,2021년01월_총인구수,2021년02월_총인구수,2021년03월_총인구수,2021년04월_총인구수,2021년05월_총인구수,2021년06월_총인구수,2021년07월_총인구수
서울특별시  (1100000000),"9,657,969","9,648,606","9,598,484","9,588,711","9,575,355","9,565,990","9,558,153"
서울특별시 종로구 (1111000000),"149,125","148,884","147,296","147,113","146,377","146,029","145,692"
서울특별시 종로구 청운효자동(1111051500),"12,426","12,353","12,095","12,063","12,042","12,024","12,035"
서울특별시 종로구 사직동(1111053000),"9,544","9,542","9,543","9,535","9,367","9,371","9,376"
서울특별시 종로구 삼청동(1111054000),"2,613","2,609","2,530","2,519","2,497","2,498","2,484"
서울특별시 종로구 부암동(1111055000),"9,990","9,961","9,819","9,771","9,737","9,703","9,679"
서울특별시 종로구 평창동(1111056000),"18,394","18,347","18,308","18,294","18,230","18,204","18,177"
서울특별시 종로구 무악동(1111057000),"8,519","8,516","8,380","8,347","8,329","8,318","8,275"
서울특별시 종로구 교남동(1111058000),"10,428","10,395","10,230","10,220","10,178","10,167","10,122"
서울특별시 종로구 가회동(1111060000),"4,325","4,320","4,203","4,197","4,205","4,210","4,179"
서울특별시 종로구 종로1.2.3.4가동(1111061500),"7,256","7,253","7,227","7,250","7,265","7,226","7,204"
서울특별시 종로구 종로5.6가동(1111063000),"5,258","5,282","5,264","5,241","5,243","5,150","5,121"
서울특별시 종로구 이화동(1111064000),"7,558","7,561","7,399","7,390","7,359","7,347","7,310"
서울특별시 종로구 혜화동(1111065000),"16,707","16,712","16,711","16,707","16,570","16,489","16,463"
서울특별시 종로구 창신제1동(1111067000),"5,116","5,122","5,054","5,049","4,965","4,966","4,964"
서울특별시 종로구 창신제2동(1111068000),"8,296","8,245","8,198","8,175","8,077","8,057","8,037"
서울특별시 종로구 창신제3동(1111069000),"6,897","6,873","6,752","6,727","6,704","6,708","6,706"
서울특별시 종로구 숭인제1동(1111070000),"6,081","6,083","6,041","6,014","5,993","5,942","5,923"
서울특별시 종로구 숭인제2동(1111071000),"9,717","9,710","9,542","9,614","9,616","9,649","9,637"
서울특별시 중구 (1114000000),"125,038","124,836","124,552","124,477","123,133","123,016","122,951"
서울특별시 중구 소공동(1114052000),"2,077","2,112","2,143","2,193","2,200","2,209","2,195"
서울특별시 중구 회현동(1114054000),"5,116","5,133","5,114","5,096","4,845","4,852","4,854"
서울특별시 중구 명동(1114055000),"2,908","2,911","2,930","2,938","2,859","2,847","2,846"
서울특별시 중구 필동(1114057000),"4,063","4,063","4,015","4,018","4,044","4,057","4,061"
서울특별시 중구 장충동(1114058000),"4,611","4,558","4,566","4,575","4,542","4,560","4,564"
서울특별시 중구 광희동(1114059000),"5,270","5,319","5,343","5,353","5,218","5,197","5,210"
서울특별시 중구 을지로동(1114060500),"1,808","1,817","1,796","1,778","1,716","1,709","1,723"
서울특별시 중구 신당동(1114061500),"7,715","7,696","7,680","7,670","7,579","7,588","7,598"
서울특별시 중구 다산동(1114062500),"14,228","14,182","14,141","14,101","13,993","13,972","13,953"
서울특별시 중구 약수동(1114063500),"17,035","16,981","16,920","16,914","16,815","16,843","16,847"
서울특별시 중구 청구동(1114064500),"13,994","13,931","13,894","13,893","13,766","13,740","13,695"
서울특별시 중구 신당제5동(1114065000),"10,524","10,515","10,501","10,472","10,385","10,364","10,375"
서울특별시 중구 동화동(1114066500),"10,650","10,617","10,586","10,558","10,454","10,420","10,407"
서울특별시 중구 황학동(1114067000),"12,584","12,603","12,613","12,613","12,548","12,553","12,523"
서울특별시 중구 중림동(1114068000),"12,455","12,398","12,310","12,305","12,169","12,105","12,100"
서울특별시 용산구 (1117000000),"230,045","230,113","229,013","228,755","227,515","226,378","225,977"
서울특별시 용산구 후암동(1117051000),"17,671","17,647","17,360","17,332","17,125","17,128","17,054"
서울특별시 용산구 용산2가동(1117052000),"9,951","9,925","9,879","9,833","9,656","9,576","9,579"
서울특별시 용산구 남영동(1117053000),"7,648","7,650","7,544","7,549","7,549","7,383","7,355"
서울특별시 용산구 청파동(1117055500),"19,761","19,748","19,700","19,676","19,497","19,521","19,568"
서울특별시 용산구 원효로제1동(1117056000),"16,108","16,136","16,099","16,042","15,975","15,954","16,000"
서울특별시 용산구 원효로제2동(1117057000),"14,158","14,173","14,140","14,100","14,052","13,883","13,849"
서울특별시 용산구 효창동(1117058000),"10,253","10,237","10,251","10,258","10,214","10,150","10,157"
서울특별시 용산구 용문동(1117059000),"12,315","12,282","12,207","12,187","12,044","12,010","12,009"
서울특별시 용산구 한강로동(1117062500),"20,533","20,939","21,596","21,705","21,899","21,694","21,756"
서울특별시 용산구 이촌제1동(1117063000),"28,090","28,096","27,739","27,705","27,712","27,615","27,308"
서울특별시 용산구 이촌제2동(1117064000),"8,710","8,696","8,547","8,494","8,487","8,454","8,396"
서울특별시 용산구 이태원제1동(1117065000),"6,951","6,937","6,822","6,824","6,524","6,506","6,499"
서울특별시 용산구 이태원제2동(1117066000),"9,288","9,257","9,193","9,190","9,170","9,058","9,070"
서울특별시 용산구 한남동(1117068500),"21,196","21,107","20,778","20,738","20,702","20,624","20,572"
서울특별시 용산구 서빙고동(1117069000),"13,213","13,149","13,105","13,115","13,121","13,082","13,114"
서울특별시 용산구 보광동(1117070000),"14,199","14,134","14,053","14,007","13,788","13,740","13,691"
서울특별시 성동구 (1120000000),"293,103","292,537","291,906","291,534","289,656","289,162","288,703"
서울특별시 성동구 왕십리제2동(1120052000),"17,077","17,035","16,922","16,894","16,675","16,630","16,627"
서울특별시 성동구 왕십리도선동(1120053500),"26,968","26,894","26,798","26,832","26,599","26,596","26,660"
서울특별시 성동구 마장동(1120054000),"22,758","22,647","22,636","22,608","22,575","22,524","22,476"
서울특별시 성동구 사근동(1120055000),"11,841","11,828","11,956","11,973","12,013","12,017","11,950"
서울특별시 성동구 행당제1동(1120056000),"14,087","14,067","14,089","14,039","13,955","13,915","13,935"
서울특별시 성동구 행당제2동(1120057000),"24,000","23,947","23,836","23,807","23,644","23,617","23,560"
서울특별시 성동구 응봉동(1120058000),"15,736","15,713","15,671","15,667","15,626","15,589","15,560"
서울특별시 성동구 금호1가동(1120059000),"15,709","15,691","15,634","15,621","15,514","15,520","15,460"
서울특별시 성동구 금호2.3가동(1120061500),"23,372","23,307","23,187","23,117","22,923","22,880","22,861"
서울특별시 성동구 금호4가동(1120062000),"14,694","14,639","14,589","14,564","14,446","14,435","14,424"
서울특별시 성동구 옥수동(1120064500),"26,549","26,538","26,489","26,445","26,274","26,245","26,176"
서울특별시 성동구 성수1가제1동(1120065000),"16,708","16,775","16,869","16,885","16,774","16,750","16,698"
서울특별시 성동구 성수1가제2동(1120066000),"13,410","13,317","13,191","13,116","12,962","12,904","12,859"
서울특별시 성동구 성수2가제1동(1120067000),"16,546","16,435","16,381","16,364","16,207","16,135","16,134"
서울특별시 성동구 성수2가제3동(1120069000),"11,170","11,169","11,124","11,105","11,073","11,045","11,033"
서울특별시 성동구 송정동(1120072000),"10,691","10,664","10,633","10,628","10,601","10,613","10,583"
