,광역시도,시군구,구분,인구수,20~39세,65세이상
6,서울특별시, 종로구,계,144866,43061,25597
7,서울특별시, 종로구,남자,70613,21327,11361
8,서울특별시, 종로구,여자,74253,21736,14236
9,서울특별시, 중구,계,121520,38455,21878
10,서울특별시, 중구,남자,59536,18864,9600
11,서울특별시, 중구,여자,61984,19592,12279
12,서울특별시, 용산구,계,219404,70034,35173
13,서울특별시, 용산구,남자,106237,34333,15055
14,서울특별시, 용산구,여자,113167,35703,20119
15,서울특별시, 성동구,계,291841,94648,42932
16,서울특별시, 성동구,남자,142673,46710,18745
17,서울특별시, 성동구,여자,149168,47938,24188
18,서울특별시, 광진구,계,343783,118572,47428
19,서울특별시, 광진구,남자,166230,57257,21267
20,서울특별시, 광진구,여자,177554,61316,26161
21,서울특별시, 동대문구,계,337801,105551,58129
22,서울특별시, 동대문구,남자,167564,53695,25861
23,서울특별시, 동대문구,여자,170237,51858,32269
24,서울특별시, 중랑구,계,390233,114135,65636
25,서울특별시, 중랑구,남자,193106,57895,29406
26,서울특별시, 중랑구,여자,197128,56241,36232
27,서울특별시, 성북구,계,432206,126470,69512
28,서울특별시, 성북구,남자,209002,62065,29933
29,서울특별시, 성북구,여자,223205,64406,39580
30,서울특별시, 강북구,계,305512,82271,60093
31,서울특별시, 강북구,남자,148977,41772,25845
32,서울특별시, 강북구,여자,156535,40500,34248
33,서울특별시, 도봉구,계,325050,85633,59158
34,서울특별시, 도봉구,남자,158708,43763,26482
35,서울특별시, 도봉구,여자,166343,41870,32676
36,서울특별시, 노원구,계,522235,138920,81587
37,서울특별시, 노원구,남자,252410,70420,34379
38,서울특별시, 노원구,여자,269826,68501,47209
39,서울특별시, 은평구,계,471906,134477,79998
40,서울특별시, 은평구,남자,227029,65991,34661
41,서울특별시, 은평구,여자,244877,68486,45339
42,서울특별시, 서대문구,계,304074,93510,50450
43,서울특별시, 서대문구,남자,145927,45754,21375
44,서울특별시, 서대문구,여자,158147,47757,29076
45,서울특별시, 마포구,계,365392,125017,50654
46,서울특별시, 마포구,남자,172413,58053,21240
47,서울특별시, 마포구,여자,192979,66965,29414
48,서울특별시, 양천구,계,450971,118257,62000
49,서울특별시, 양천구,남자,221368,59328,27817
50,서울특별시, 양천구,여자,229603,58930,34184
51,서울특별시, 강서구,계,579138,187063,84457
52,서울특별시, 강서구,남자,279976,91396,37262
53,서울특별시, 강서구,여자,299163,95668,47195
54,서울특별시, 구로구,계,400915,118714,65807
55,서울특별시, 구로구,남자,197916,59478,29976
56,서울특별시, 구로구,여자,202999,59236,35832
57,서울특별시, 금천구,계,228342,71700,37128
58,서울특별시, 금천구,남자,115594,38053,16891
59,서울특별시, 금천구,여자,112748,33649,20237
60,서울특별시, 영등포구,계,366258,124515,56298
61,서울특별시, 영등포구,남자,181332,61671,25413
62,서울특별시, 영등포구,여자,184926,62844,30885
63,서울특별시, 동작구,계,387859,128785,61506
64,서울특별시, 동작구,남자,187886,63797,26834
65,서울특별시, 동작구,여자,199973,64988,34672
66,서울특별시, 관악구,계,489799,194638,74422
67,서울특별시, 관악구,남자,245687,100403,33261
68,서울특별시, 관악구,여자,244112,94236,41162
69,서울특별시, 서초구,계,419614,119306,56204
70,서울특별시, 서초구,남자,200823,56033,25499
71,서울특별시, 서초구,여자,218791,63275,30706
72,서울특별시, 강남구,계,530126,156053,70008
73,서울특별시, 강남구,남자,253755,73037,31534
74,서울특별시, 강남구,여자,276372,83016,38476
75,서울특별시, 송파구,계,662838,205917,87862
76,서울특별시, 송파구,남자,320336,98737,40617
77,서울특별시, 송파구,여자,342502,107181,47246
78,서울특별시, 강동구,계,441733,129061,65025
79,서울특별시, 강동구,남자,217560,64443,29705
80,서울특별시, 강동구,여자,224173,64619,35322
84,부산광역시, 중구,계,40446,10011,10430
85,부산광역시, 중구,남자,19836,5197,4454
86,부산광역시, 중구,여자,20610,4814,5978
87,부산광역시, 서구,계,105948,24756,25915
88,부산광역시, 서구,남자,51485,12512,10990
89,부산광역시, 서구,여자,54464,12244,14926
90,부산광역시, 동구,계,86801,20553,22185
91,부산광역시, 동구,남자,42646,10754,9268
92,부산광역시, 동구,여자,44156,9801,12918
93,부산광역시, 영도구,계,113043,23103,30089
94,부산광역시, 영도구,남자,55798,12545,12785
95,부산광역시, 영도구,여자,57245,10558,17305
96,부산광역시, 부산진구,계,354108,99361,67325
97,부산광역시, 부산진구,남자,171332,49817,29107
98,부산광역시, 부산진구,여자,182776,49546,38219
99,부산광역시, 동래구,계,268387,66293,47578
100,부산광역시, 동래구,남자,130808,34017,21116
101,부산광역시, 동래구,여자,137579,32277,26462
102,부산광역시, 남구,계,268383,66626,51966
103,부산광역시, 남구,남자,131538,34740,22702
104,부산광역시, 남구,여자,136846,31886,29265
105,부산광역시, 북구,계,285666,72717,47158
106,부산광역시, 북구,남자,141393,38408,20873
107,부산광역시, 북구,여자,144273,34310,26286
108,부산광역시, 해운대구,계,400015,96706,67224
109,부산광역시, 해운대구,남자,192805,48924,28833
110,부산광역시, 해운대구,여자,207210,47782,38391
111,부산광역시, 사하구,계,313486,78920,56959
112,부산광역시, 사하구,남자,156182,42036,25301
113,부산광역시, 사하구,여자,157305,36886,31658
114,부산광역시, 금정구,계,233506,59641,47025
115,부산광역시, 금정구,남자,114217,31634,20504
116,부산광역시, 금정구,여자,119289,28008,26522
117,부산광역시, 강서구,계,132918,38916,15634
118,부산광역시, 강서구,남자,68663,20200,7351
119,부산광역시, 강서구,여자,64255,18716,8284
120,부산광역시, 연제구,계,207199,53627,38595
121,부산광역시, 연제구,남자,99974,27091,17061
122,부산광역시, 연제구,여자,107225,26538,21535
123,부산광역시, 수영구,계,174591,47944,36166
124,부산광역시, 수영구,남자,82665,23732,15676
125,부산광역시, 수영구,여자,91926,24212,20492
126,부산광역시, 사상구,계,213286,55276,37178
127,부산광역시, 사상구,남자,107659,29596,16607
128,부산광역시, 사상구,여자,105628,25681,20572
129,부산광역시, 기장군,계,168798,41060,26315
130,부산광역시, 기장군,남자,83578,20934,11238
131,부산광역시, 기장군,여자,85221,20127,15078
135,대구광역시, 중구,계,75567,22509,15239
136,대구광역시, 중구,남자,36422,11223,6269
137,대구광역시, 중구,여자,39146,11288,8971
138,대구광역시, 동구,계,340729,86337,64999
139,대구광역시, 동구,남자,167923,45826,27493
140,대구광역시, 동구,여자,172807,40511,37509
141,대구광역시, 서구,계,170923,39938,37166
142,대구광역시, 서구,남자,85626,22256,15673
143,대구광역시, 서구,여자,85297,17683,21493
144,대구광역시, 남구,계,145124,37443,32971
145,대구광역시, 남구,남자,69856,19243,13679
146,대구광역시, 남구,여자,75268,18202,19293
147,대구광역시, 북구,계,436380,115385,61525
148,대구광역시, 북구,남자,217210,61397,25971
149,대구광역시, 북구,여자,219170,53992,35555
150,대구광역시, 수성구,계,423483,98867,64405
151,대구광역시, 수성구,남자,205156,50902,27196
152,대구광역시, 수성구,여자,218328,47965,37210
153,대구광역시, 달서구,계,560982,147638,77721
154,대구광역시, 달서구,남자,276907,77792,33394
155,대구광역시, 달서구,여자,284076,69847,44327
156,대구광역시, 달성군,계,257019,71490,31631
157,대구광역시, 달성군,남자,130483,38075,13772
158,대구광역시, 달성군,여자,126536,33417,17862
162,인천광역시, 중구,계,135667,39667,19309
163,인천광역시, 중구,남자,70331,20844,8591
164,인천광역시, 중구,여자,65336,18824,10718
165,인천광역시, 동구,계,62324,13856,13723
166,인천광역시, 동구,남자,31473,7432,5833
167,인천광역시, 동구,여자,30851,6425,7891
168,인천광역시, 미추홀구,계,401346,113178,66281
169,인천광역시, 미추홀구,남자,201983,60312,28811
170,인천광역시, 미추홀구,여자,199363,52867,37470
171,인천광역시, 연수구,계,374306,107153,35875
172,인천광역시, 연수구,남자,186028,54151,15783
173,인천광역시, 연수구,여자,188278,53003,20092
174,인천광역시, 남동구,계,524803,145481,68239
175,인천광역시, 남동구,남자,260553,74883,29567
176,인천광역시, 남동구,여자,264250,70599,38672
177,인천광역시, 부평구,계,497593,140742,70322
178,인천광역시, 부평구,남자,245889,72453,30271
179,인천광역시, 부평구,여자,251704,68290,40054
180,인천광역시, 계양구,계,297386,83391,36088
181,인천광역시, 계양구,남자,148266,43439,15795
182,인천광역시, 계양구,여자,149120,39952,20294
183,인천광역시, 서구,계,539670,153454,55342
184,인천광역시, 서구,남자,272307,78915,24409
185,인천광역시, 서구,여자,267363,74540,30934
186,인천광역시, 강화군,계,68662,10815,22228
187,인천광역시, 강화군,남자,34390,5959,10006
188,인천광역시, 강화군,여자,34273,4857,12222
189,인천광역시, 옹진군,계,20367,4667,5291
190,인천광역시, 옹진군,남자,11567,3194,2440
191,인천광역시, 옹진군,여자,8800,1473,2853
195,광주광역시, 동구,계,99138,27106,21207
196,광주광역시, 동구,남자,49085,14033,9280
197,광주광역시, 동구,여자,50053,13073,11928
198,광주광역시, 서구,계,297084,82728,41057
199,광주광역시, 서구,남자,145639,42130,17602
200,광주광역시, 서구,여자,151445,40599,23456
201,광주광역시, 남구,계,214845,54446,36561
202,광주광역시, 남구,남자,103448,27512,15593
203,광주광역시, 남구,여자,111397,26935,20969
204,광주광역시, 북구,계,429591,118632,62737
205,광주광역시, 북구,남자,213094,61966,26975
206,광주광역시, 북구,여자,216498,56668,35762
207,광주광역시, 광산구,계,403810,113180,37126
208,광주광역시, 광산구,남자,203241,58566,15179
209,광주광역시, 광산구,여자,200569,54616,21948
213,대전광역시, 동구,계,222608,56703,41078
214,대전광역시, 동구,남자,112097,30262,17876
215,대전광역시, 동구,여자,110512,26442,23202
216,대전광역시, 중구,계,235822,57858,44187
217,대전광역시, 중구,남자,116308,29719,19157
218,대전광역시, 중구,여자,119515,28139,25030
219,대전광역시, 서구,계,476497,140045,58712
220,대전광역시, 서구,남자,234238,71323,25886
221,대전광역시, 서구,여자,242260,68725,32828
